Start Date,End Date,Year,Month,Group,State,Indicator,Non-Hispanic White,Non-Hispanic Black or African American,Non-Hispanic American Indian or Alaska Native,Non-Hispanic Asian,Non-Hispanic Native Hawaiian or Other Pacific Islander,Non Hispanic more than one race,Hispanic or Latino
05/01/2020,05/31/2020,2020,5.0,By Month,Alabama,Unweighted distribution of population (%),65.3,26.5,0.6,1.5,0.1,1.6,4.6
05/01/2020,05/31/2020,2020,5.0,By Month,Alabama,Weighted distribution of population (%),51.7,40.7,0.4,2.0,0.0,1.4,3.7
06/01/2020,06/30/2020,2020,6.0,By Month,Alabama,Count of COVID-19 deaths,188.0,186.0,0.0,0.0,0.0,0.0,24.0
06/01/2020,06/30/2020,2020,6.0,By Month,Alabama,Distribution of COVID-19 deaths (%),47.1,46.6,0.0,0.0,0.0,0.0,6.0
06/01/2020,06/30/2020,2020,6.0,By Month,Alabama,Unweighted distribution of population (%),65.3,26.5,0.6,1.5,0.1,1.6,4.6
06/01/2020,06/30/2020,2020,6.0,By Month,Alabama,Weighted distribution of population (%),50.6,41.7,0.3,2.1,0.0,1.3,3.9
07/01/2020,07/31/2020,2020,7.0,By Month,Alabama,Count of COVID-19 deaths,551.0,294.0,0.0,0.0,0.0,0.0,24.0
07/01/2020,07/31/2020,2020,7.0,By Month,Alabama,Distribution of COVID-19 deaths (%),63.1,33.7,0.0,0.0,0.0,0.0,2.7
07/01/2020,07/31/2020,2020,7.0,By Month,Alabama,Unweighted distribution of population (%),65.3,26.5,0.6,1.5,0.1,1.6,4.6
07/01/2020,07/31/2020,2020,7.0,By Month,Alabama,Weighted distribution of population (%),56.2,35.8,0.4,1.9,0.0,1.5,4.2
08/01/2020,08/31/2020,2020,8.0,By Month,Alabama,Count of COVID-19 deaths,623.0,303.0,0.0,0.0,0.0,0.0,23.0
08/01/2020,08/31/2020,2020,8.0,By Month,Alabama,Distribution of COVID-19 deaths (%),64.9,31.6,0.0,0.0,0.0,0.0,2.4
08/01/2020,08/31/2020,2020,8.0,By Month,Alabama,Unweighted distribution of population (%),65.3,26.5,0.6,1.5,0.1,1.6,4.6
08/01/2020,08/31/2020,2020,8.0,By Month,Alabama,Weighted distribution of population (%),57.1,35.1,0.4,1.8,0.0,1.5,4.1
09/01/2020,09/30/2020,2020,9.0,By Month,Alabama,Count of COVID-19 deaths,388.0,164.0,0.0,0.0,0.0,0.0,0.0
09/01/2020,09/30/2020,2020,9.0,By Month,Alabama,Distribution of COVID-19 deaths (%),68.7,29.0,0.0,0.0,0.0,0.0,0.0
09/01/2020,09/30/2020,2020,9.0,By Month,Alabama,Unweighted distribution of population (%),65.3,26.5,0.6,1.5,0.1,1.6,4.6
09/01/2020,09/30/2020,2020,9.0,By Month,Alabama,Weighted distribution of population (%),56.3,35.9,0.4,1.8,0.0,1.5,4.1
10/01/2020,10/31/2020,2020,10.0,By Month,Alabama,Count of COVID-19 deaths,422.0,129.0,0.0,0.0,0.0,0.0,0.0
10/01/2020,10/31/2020,2020,10.0,By Month,Alabama,Distribution of COVID-19 deaths (%),75.8,23.2,0.0,0.0,0.0,0.0,0.0
10/01/2020,10/31/2020,2020,10.0,By Month,Alabama,Unweighted distribution of population (%),65.3,26.5,0.6,1.5,0.1,1.6,4.6
10/01/2020,10/31/2020,2020,10.0,By Month,Alabama,Weighted distribution of population (%),57.0,35.0,0.4,1.8,0.0,1.5,4.2
11/01/2020,11/30/2020,2020,11.0,By Month,Alabama,Count of COVID-19 deaths,561.0,176.0,0.0,0.0,0.0,0.0,15.0
11/01/2020,11/30/2020,2020,11.0,By Month,Alabama,Distribution of COVID-19 deaths (%),73.7,23.1,0.0,0.0,0.0,0.0,2.0
11/01/2020,11/30/2020,2020,11.0,By Month,Alabama,Unweighted distribution of population (%),65.3,26.5,0.6,1.5,0.1,1.6,4.6
11/01/2020,11/30/2020,2020,11.0,By Month,Alabama,Weighted distribution of population (%),55.9,36.0,0.4,1.9,0.0,1.5,4.3
12/01/2020,12/31/2020,2020,12.0,By Month,Alabama,Count of COVID-19 deaths,1327.0,380.0,0.0,0.0,0.0,0.0,18.0
12/01/2020,12/31/2020,2020,12.0,By Month,Alabama,Distribution of COVID-19 deaths (%),76.6,21.9,0.0,0.0,0.0,0.0,1.0
12/01/2020,12/31/2020,2020,12.0,By Month,Alabama,Unweighted distribution of population (%),65.3,26.5,0.6,1.5,0.1,1.6,4.6
12/01/2020,12/31/2020,2020,12.0,By Month,Alabama,Weighted distribution of population (%),55.9,36.1,0.4,1.8,0.0,1.5,4.3
01/01/2021,01/31/2021,2021,1.0,By Month,Alabama,Count of COVID-19 deaths,1707.0,605.0,0.0,11.0,0.0,0.0,31.0
01/01/2021,01/31/2021,2021,1.0,By Month,Alabama,Distribution of COVID-19 deaths (%),72.3,25.6,0.0,0.5,0.0,0.0,1.3
01/01/2021,01/31/2021,2021,1.0,By Month,Alabama,Unweighted distribution of population (%),65.3,26.5,0.6,1.5,0.1,1.6,4.6
01/01/2021,01/31/2021,2021,1.0,By Month,Alabama,Weighted distribution of population (%),55.6,36.5,0.4,1.9,0.0,1.5,4.2
02/01/2021,02/28/2021,2021,2.0,By Month,Alabama,Count of COVID-19 deaths,639.0,280.0,0.0,0.0,0.0,0.0,16.0
02/01/2021,02/28/2021,2021,2.0,By Month,Alabama,Distribution of COVID-19 deaths (%),67.8,29.7,0.0,0.0,0.0,0.0,1.7
02/01/2021,02/28/2021,2021,2.0,By Month,Alabama,Unweighted distribution of population (%),65.3,26.5,0.6,1.5,0.1,1.6,4.6
02/01/2021,02/28/2021,2021,2.0,By Month,Alabama,Weighted distribution of population (%),55.3,36.6,0.4,2.0,0.0,1.5,4.1
03/01/2021,03/31/2021,2021,3.0,By Month,Alabama,Count of COVID-19 deaths,241.0,106.0,0.0,0.0,0.0,0.0,0.0
03/01/2021,03/31/2021,2021,3.0,By Month,Alabama,Distribution of COVID-19 deaths (%),67.7,29.8,0.0,0.0,0.0,0.0,0.0
03/01/2021,03/31/2021,2021,3.0,By Month,Alabama,Unweighted distribution of population (%),65.3,26.5,0.6,1.5,0.1,1.6,4.6
03/01/2021,03/31/2021,2021,3.0,By Month,Alabama,Weighted distribution of population (%),54.1,38.0,0.4,2.0,0.0,1.5,4.0
04/01/2021,04/24/2021,2021,4.0,By Month,Alabama,Count of COVID-19 deaths,54.0,36.0,0.0,0.0,0.0,0.0,0.0
04/01/2021,04/24/2021,2021,4.0,By Month,Alabama,Distribution of COVID-19 deaths (%),58.1,38.7,0.0,0.0,0.0,0.0,0.0
04/01/2021,04/24/2021,2021,4.0,By Month,Alabama,Unweighted distribution of population (%),65.3,26.5,0.6,1.5,0.1,1.6,4.6
04/01/2021,04/24/2021,2021,4.0,By Month,Alabama,Weighted distribution of population (%),53.6,38.3,0.3,1.9,0.0,1.5,4.3
01/01/2020,01/31/2020,2020,1.0,By Month,Alaska,Count of COVID-19 deaths,0.0,0.0,0.0,0.0,0.0,0.0,0.0
01/01/2020,01/31/2020,2020,1.0,By Month,Alaska,Distribution of COVID-19 deaths (%),0.0,0.0,0.0,0.0,0.0,0.0,0.0
01/01/2020,01/31/2020,2020,1.0,By Month,Alaska,Unweighted distribution of population (%),60.8,3.3,13.9,6.4,1.4,6.8,7.3
01/01/2020,01/31/2020,2020,1.0,By Month,Alaska,Weighted distribution of population (%),0.0,0.0,0.0,0.0,0.0,0.0,0.0
02/01/2020,02/29/2020,2020,2.0,By Month,Alaska,Count of COVID-19 deaths,0.0,0.0,0.0,0.0,0.0,0.0,0.0
02/01/2020,02/29/2020,2020,2.0,By Month,Alaska,Distribution of COVID-19 deaths (%),0.0,0.0,0.0,0.0,0.0,0.0,0.0
02/01/2020,02/29/2020,2020,2.0,By Month,Alaska,Unweighted distribution of population (%),60.8,3.3,13.9,6.4,1.4,6.8,7.3
02/01/2020,02/29/2020,2020,2.0,By Month,Alaska,Weighted distribution of population (%),0.0,0.0,0.0,0.0,0.0,0.0,0.0
03/01/2020,03/31/2020,2020,3.0,By Month,Alaska,Count of COVID-19 deaths,0.0,0.0,0.0,0.0,0.0,0.0,0.0
03/01/2020,03/31/2020,2020,3.0,By Month,Alaska,Distribution of COVID-19 deaths (%),0.0,0.0,0.0,0.0,0.0,0.0,0.0
03/01/2020,03/31/2020,2020,3.0,By Month,Alaska,Unweighted distribution of population (%),60.8,3.3,13.9,6.4,1.4,6.8,7.3
03/01/2020,03/31/2020,2020,3.0,By Month,Alaska,Weighted distribution of population (%),57.1,5.3,8.3,9.8,2.7,7.5,9.4
04/01/2020,04/30/2020,2020,4.0,By Month,Alaska,Count of COVID-19 deaths,0.0,0.0,0.0,0.0,0.0,0.0,0.0
04/01/2020,04/30/2020,2020,4.0,By Month,Alaska,Distribution of COVID-19 deaths (%),0.0,0.0,0.0,0.0,0.0,0.0,0.0
04/01/2020,04/30/2020,2020,4.0,By Month,Alaska,Unweighted distribution of population (%),60.8,3.3,13.9,6.4,1.4,6.8,7.3
04/01/2020,04/30/2020,2020,4.0,By Month,Alaska,Weighted distribution of population (%),59.3,5.2,8.2,8.6,2.3,7.3,9.2
05/01/2020,05/31/2020,2020,5.0,By Month,Alaska,Count of COVID-19 deaths,0.0,0.0,0.0,0.0,0.0,0.0,0.0
05/01/2020,05/31/2020,2020,5.0,By Month,Alaska,Distribution of COVID-19 deaths (%),0.0,0.0,0.0,0.0,0.0,0.0,0.0
05/01/2020,05/31/2020,2020,5.0,By Month,Alaska,Unweighted distribution of population (%),60.8,3.3,13.9,6.4,1.4,6.8,7.3
05/01/2020,05/31/2020,2020,5.0,By Month,Alaska,Weighted distribution of population (%),80.0,0.7,7.6,1.8,0.3,5.3,4.3
06/01/2020,06/30/2020,2020,6.0,By Month,Alaska,Count of COVID-19 deaths,0.0,0.0,0.0,0.0,0.0,0.0,0.0
06/01/2020,06/30/2020,2020,6.0,By Month,Alaska,Distribution of COVID-19 deaths (%),0.0,0.0,0.0,0.0,0.0,0.0,0.0
06/01/2020,06/30/2020,2020,6.0,By Month,Alaska,Unweighted distribution of population (%),60.8,3.3,13.9,6.4,1.4,6.8,7.3
06/01/2020,06/30/2020,2020,6.0,By Month,Alaska,Weighted distribution of population (%),57.1,5.3,8.3,9.8,2.7,7.5,9.4
07/01/2020,07/31/2020,2020,7.0,By Month,Alaska,Count of COVID-19 deaths,0.0,0.0,0.0,0.0,0.0,0.0,0.0
07/01/2020,07/31/2020,2020,7.0,By Month,Alaska,Distribution of COVID-19 deaths (%),0.0,0.0,0.0,0.0,0.0,0.0,0.0
07/01/2020,07/31/2020,2020,7.0,By Month,Alaska,Unweighted distribution of population (%),60.8,3.3,13.9,6.4,1.4,6.8,7.3
07/01/2020,07/31/2020,2020,7.0,By Month,Alaska,Weighted distribution of population (%),58.3,5.3,8.2,9.1,2.5,7.4,9.3
08/01/2020,08/31/2020,2020,8.0,By Month,Alaska,Count of COVID-19 deaths,0.0,0.0,0.0,0.0,0.0,0.0,0.0
08/01/2020,08/31/2020,2020,8.0,By Month,Alaska,Distribution of COVID-19 deaths (%),0.0,0.0,0.0,0.0,0.0,0.0,0.0
08/01/2020,08/31/2020,2020,8.0,By Month,Alaska,Unweighted distribution of population (%),60.8,3.3,13.9,6.4,1.4,6.8,7.3
08/01/2020,08/31/2020,2020,8.0,By Month,Alaska,Weighted distribution of population (%),58.3,5.3,8.5,9.0,2.4,7.3,9.2
09/01/2020,09/30/2020,2020,9.0,By Month,Alaska,Count of COVID-19 deaths,0.0,0.0,0.0,0.0,0.0,0.0,0.0
09/01/2020,09/30/2020,2020,9.0,By Month,Alaska,Distribution of COVID-19 deaths (%),0.0,0.0,0.0,0.0,0.0,0.0,0.0
09/01/2020,09/30/2020,2020,9.0,By Month,Alaska,Unweighted distribution of population (%),60.8,3.3,13.9,6.4,1.4,6.8,7.3
09/01/2020,09/30/2020,2020,9.0,By Month,Alaska,Weighted distribution of population (%),57.6,5.3,8.3,9.5,2.6,7.5,9.3
10/01/2020,10/31/2020,2020,10.0,By Month,Alaska,Count of COVID-19 deaths,10.0,0.0,11.0,0.0,0.0,0.0,0.0
10/01/2020,10/31/2020,2020,10.0,By Month,Alaska,Distribution of COVID-19 deaths (%),31.2,0.0,34.4,0.0,0.0,0.0,0.0
10/01/2020,10/31/2020,2020,10.0,By Month,Alaska,Unweighted distribution of population (%),60.8,3.3,13.9,6.4,1.4,6.8,7.3
10/01/2020,10/31/2020,2020,10.0,By Month,Alaska,Weighted distribution of population (%),58.6,5.1,8.6,8.9,2.4,7.3,9.1
11/01/2020,11/30/2020,2020,11.0,By Month,Alaska,Count of COVID-19 deaths,22.0,0.0,29.0,0.0,0.0,0.0,0.0
11/01/2020,11/30/2020,2020,11.0,By Month,Alaska,Distribution of COVID-19 deaths (%),31.9,0.0,42.0,0.0,0.0,0.0,0.0
11/01/2020,11/30/2020,2020,11.0,By Month,Alaska,Unweighted distribution of population (%),60.8,3.3,13.9,6.4,1.4,6.8,7.3
11/01/2020,11/30/2020,2020,11.0,By Month,Alaska,Weighted distribution of population (%),59.1,4.9,8.8,8.7,2.4,7.3,8.9
12/01/2020,12/31/2020,2020,12.0,By Month,Alaska,Count of COVID-19 deaths,42.0,0.0,28.0,10.0,0.0,0.0,0.0
12/01/2020,12/31/2020,2020,12.0,By Month,Alaska,Distribution of COVID-19 deaths (%),44.2,0.0,29.5,10.5,0.0,0.0,0.0
12/01/2020,12/31/2020,2020,12.0,By Month,Alaska,Unweighted distribution of population (%),60.8,3.3,13.9,6.4,1.4,6.8,7.3
12/01/2020,12/31/2020,2020,12.0,By Month,Alaska,Weighted distribution of population (%),59.7,4.8,8.2,8.7,2.4,7.3,8.8
01/01/2021,01/31/2021,2021,1.0,By Month,Alaska,Count of COVID-19 deaths,12.0,0.0,16.0,0.0,0.0,0.0,0.0
01/01/2021,01/31/2021,2021,1.0,By Month,Alaska,Distribution of COVID-19 deaths (%),33.3,0.0,44.4,0.0,0.0,0.0,0.0
01/01/2021,01/31/2021,2021,1.0,By Month,Alaska,Unweighted distribution of population (%),60.8,3.3,13.9,6.4,1.4,6.8,7.3
01/01/2021,01/31/2021,2021,1.0,By Month,Alaska,Weighted distribution of population (%),60.1,4.9,9.1,8.0,2.1,7.1,8.8
02/01/2021,02/28/2021,2021,2.0,By Month,Alaska,Count of COVID-19 deaths,0.0,0.0,0.0,0.0,0.0,0.0,0.0
02/01/2021,02/28/2021,2021,2.0,By Month,Alaska,Distribution of COVID-19 deaths (%),0.0,0.0,0.0,0.0,0.0,0.0,0.0
02/01/2021,02/28/2021,2021,2.0,By Month,Alaska,Unweighted distribution of population (%),60.8,3.3,13.9,6.4,1.4,6.8,7.3
02/01/2021,02/28/2021,2021,2.0,By Month,Alaska,Weighted distribution of population (%),57.8,5.2,8.6,9.3,2.6,7.4,9.2
03/01/2021,03/31/2021,2021,3.0,By Month,Alaska,Count of COVID-19 deaths,0.0,0.0,0.0,0.0,0.0,0.0,0.0
03/01/2021,03/31/2021,2021,3.0,By Month,Alaska,Distribution of COVID-19 deaths (%),0.0,0.0,0.0,0.0,0.0,0.0,0.0
03/01/2021,03/31/2021,2021,3.0,By Month,Alaska,Unweighted distribution of population (%),60.8,3.3,13.9,6.4,1.4,6.8,7.3
03/01/2021,03/31/2021,2021,3.0,By Month,Alaska,Weighted distribution of population (%),61.7,4.8,8.0,7.7,2.1,7.2,8.7
04/01/2021,04/24/2021,2021,4.0,By Month,Alaska,Count of COVID-19 deaths,0.0,0.0,0.0,0.0,0.0,0.0,0.0
04/01/2021,04/24/2021,2021,4.0,By Month,Alaska,Distribution of COVID-19 deaths (%),0.0,0.0,0.0,0.0,0.0,0.0,0.0
04/01/2021,04/24/2021,2021,4.0,By Month,Alaska,Unweighted distribution of population (%),60.8,3.3,13.9,6.4,1.4,6.8,7.3
04/01/2021,04/24/2021,2021,4.0,By Month,Alaska,Weighted distribution of population (%),66.3,3.6,7.5,6.3,1.7,7.0,7.6
01/01/2020,01/31/2020,2020,1.0,By Month,Arizona,Count of COVID-19 deaths,0.0,0.0,0.0,0.0,0.0,0.0,0.0
01/01/2020,01/31/2020,2020,1.0,By Month,Arizona,Distribution of COVID-19 deaths (%),0.0,0.0,0.0,0.0,0.0,0.0,0.0
01/01/2020,01/31/2020,2020,1.0,By Month,Arizona,Unweighted distribution of population (%),54.1,4.5,3.9,3.4,0.2,2.1,31.7
01/01/2020,01/31/2020,2020,1.0,By Month,Arizona,Weighted distribution of population (%),0.0,0.0,0.0,0.0,0.0,0.0,0.0
02/01/2020,02/29/2020,2020,2.0,By Month,Arizona,Count of COVID-19 deaths,0.0,0.0,0.0,0.0,0.0,0.0,0.0
02/01/2020,02/29/2020,2020,2.0,By Month,Arizona,Distribution of COVID-19 deaths (%),0.0,0.0,0.0,0.0,0.0,0.0,0.0
02/01/2020,02/29/2020,2020,2.0,By Month,Arizona,Unweighted distribution of population (%),54.1,4.5,3.9,3.4,0.2,2.1,31.7
02/01/2020,02/29/2020,2020,2.0,By Month,Arizona,Weighted distribution of population (%),0.0,0.0,0.0,0.0,0.0,0.0,0.0
03/01/2020,03/31/2020,2020,3.0,By Month,Arizona,Count of COVID-19 deaths,27.0,0.0,20.0,0.0,0.0,0.0,10.0
03/01/2020,03/31/2020,2020,3.0,By Month,Arizona,Distribution of COVID-19 deaths (%),42.9,0.0,31.7,0.0,0.0,0.0,15.9
03/01/2020,03/31/2020,2020,3.0,By Month,Arizona,Unweighted distribution of population (%),54.1,4.5,3.9,3.4,0.2,2.1,31.7
03/01/2020,03/31/2020,2020,3.0,By Month,Arizona,Weighted distribution of population (%),54.1,5.3,2.3,4.1,0.2,2.2,31.8
04/01/2020,04/30/2020,2020,4.0,By Month,Arizona,Count of COVID-19 deaths,224.0,13.0,82.0,0.0,0.0,0.0,68.0
04/01/2020,04/30/2020,2020,4.0,By Month,Arizona,Distribution of COVID-19 deaths (%),55.3,3.2,20.2,0.0,0.0,0.0,16.8
04/01/2020,04/30/2020,2020,4.0,By Month,Arizona,Unweighted distribution of population (%),54.1,4.5,3.9,3.4,0.2,2.1,31.7
04/01/2020,04/30/2020,2020,4.0,By Month,Arizona,Weighted distribution of population (%),54.2,5.3,2.0,4.1,0.2,2.2,32.0
05/01/2020,05/31/2020,2020,5.0,By Month,Arizona,Count of COVID-19 deaths,227.0,19.0,114.0,0.0,0.0,0.0,120.0
05/01/2020,05/31/2020,2020,5.0,By Month,Arizona,Distribution of COVID-19 deaths (%),45.0,3.8,22.6,0.0,0.0,0.0,23.8
05/01/2020,05/31/2020,2020,5.0,By Month,Arizona,Unweighted distribution of population (%),54.1,4.5,3.9,3.4,0.2,2.1,31.7
05/01/2020,05/31/2020,2020,5.0,By Month,Arizona,Weighted distribution of population (%),54.3,5.4,1.9,4.2,0.2,2.2,31.8
06/01/2020,06/30/2020,2020,6.0,By Month,Arizona,Count of COVID-19 deaths,364.0,33.0,165.0,10.0,0.0,0.0,309.0
06/01/2020,06/30/2020,2020,6.0,By Month,Arizona,Distribution of COVID-19 deaths (%),40.4,3.7,18.3,1.1,0.0,0.0,34.3
06/01/2020,06/30/2020,2020,6.0,By Month,Arizona,Unweighted distribution of population (%),54.1,4.5,3.9,3.4,0.2,2.1,31.7
06/01/2020,06/30/2020,2020,6.0,By Month,Arizona,Weighted distribution of population (%),54.2,5.4,1.8,4.2,0.2,2.2,31.9
07/01/2020,07/31/2020,2020,7.0,By Month,Arizona,Count of COVID-19 deaths,942.0,73.0,170.0,45.0,0.0,29.0,806.0
07/01/2020,07/31/2020,2020,7.0,By Month,Arizona,Distribution of COVID-19 deaths (%),44.9,3.5,8.1,2.1,0.0,1.4,38.4
07/01/2020,07/31/2020,2020,7.0,By Month,Arizona,Unweighted distribution of population (%),54.1,4.5,3.9,3.4,0.2,2.1,31.7
07/01/2020,07/31/2020,2020,7.0,By Month,Arizona,Weighted distribution of population (%),54.4,5.5,1.7,4.3,0.2,2.2,31.7
08/01/2020,08/31/2020,2020,8.0,By Month,Arizona,Count of COVID-19 deaths,389.0,33.0,110.0,17.0,0.0,0.0,369.0
08/01/2020,08/31/2020,2020,8.0,By Month,Arizona,Distribution of COVID-19 deaths (%),41.3,3.5,11.7,1.8,0.0,0.0,39.2
08/01/2020,08/31/2020,2020,8.0,By Month,Arizona,Unweighted distribution of population (%),54.1,4.5,3.9,3.4,0.2,2.1,31.7
08/01/2020,08/31/2020,2020,8.0,By Month,Arizona,Weighted distribution of population (%),54.4,5.5,1.8,4.3,0.2,2.2,31.7
09/01/2020,09/30/2020,2020,9.0,By Month,Arizona,Count of COVID-19 deaths,118.0,0.0,31.0,0.0,0.0,0.0,103.0
09/01/2020,09/30/2020,2020,9.0,By Month,Arizona,Distribution of COVID-19 deaths (%),43.4,0.0,11.4,0.0,0.0,0.0,37.9
09/01/2020,09/30/2020,2020,9.0,By Month,Arizona,Unweighted distribution of population (%),54.1,4.5,3.9,3.4,0.2,2.1,31.7
09/01/2020,09/30/2020,2020,9.0,By Month,Arizona,Weighted distribution of population (%),54.4,5.5,1.7,4.3,0.2,2.2,31.6
10/01/2020,10/31/2020,2020,10.0,By Month,Arizona,Count of COVID-19 deaths,140.0,0.0,38.0,0.0,0.0,0.0,63.0
10/01/2020,10/31/2020,2020,10.0,By Month,Arizona,Distribution of COVID-19 deaths (%),54.1,0.0,14.7,0.0,0.0,0.0,24.3
10/01/2020,10/31/2020,2020,10.0,By Month,Arizona,Unweighted distribution of population (%),54.1,4.5,3.9,3.4,0.2,2.1,31.7
10/01/2020,10/31/2020,2020,10.0,By Month,Arizona,Weighted distribution of population (%),54.5,5.5,1.8,4.3,0.2,2.2,31.6
11/01/2020,11/30/2020,2020,11.0,By Month,Arizona,Count of COVID-19 deaths,458.0,22.0,114.0,12.0,0.0,0.0,235.0
11/01/2020,11/30/2020,2020,11.0,By Month,Arizona,Distribution of COVID-19 deaths (%),53.5,2.6,13.3,1.4,0.0,0.0,27.5
11/01/2020,11/30/2020,2020,11.0,By Month,Arizona,Unweighted distribution of population (%),54.1,4.5,3.9,3.4,0.2,2.1,31.7
11/01/2020,11/30/2020,2020,11.0,By Month,Arizona,Weighted distribution of population (%),54.4,5.4,1.8,4.2,0.2,2.2,31.8
12/01/2020,12/31/2020,2020,12.0,By Month,Arizona,Count of COVID-19 deaths,1680.0,82.0,257.0,50.0,0.0,25.0,877.0
12/01/2020,12/31/2020,2020,12.0,By Month,Arizona,Distribution of COVID-19 deaths (%),55.9,2.7,8.6,1.7,0.0,0.8,29.2
12/01/2020,12/31/2020,2020,12.0,By Month,Arizona,Unweighted distribution of population (%),54.1,4.5,3.9,3.4,0.2,2.1,31.7
12/01/2020,12/31/2020,2020,12.0,By Month,Arizona,Weighted distribution of population (%),54.3,5.4,1.8,4.2,0.2,2.2,31.9
01/01/2021,01/31/2021,2021,1.0,By Month,Arizona,Count of COVID-19 deaths,2180.0,134.0,310.0,109.0,10.0,37.0,1183.0
01/01/2021,01/31/2021,2021,1.0,By Month,Arizona,Distribution of COVID-19 deaths (%),54.7,3.4,7.8,2.7,0.3,0.9,29.7
01/01/2021,01/31/2021,2021,1.0,By Month,Arizona,Unweighted distribution of population (%),54.1,4.5,3.9,3.4,0.2,2.1,31.7
01/01/2021,01/31/2021,2021,1.0,By Month,Arizona,Weighted distribution of population (%),54.4,5.4,1.8,4.2,0.2,2.2,31.8
02/01/2021,02/28/2021,2021,2.0,By Month,Arizona,Count of COVID-19 deaths,878.0,49.0,142.0,44.0,0.0,14.0,477.0
02/01/2021,02/28/2021,2021,2.0,By Month,Arizona,Distribution of COVID-19 deaths (%),54.4,3.0,8.8,2.7,0.0,0.9,29.5
02/01/2021,02/28/2021,2021,2.0,By Month,Arizona,Unweighted distribution of population (%),54.1,4.5,3.9,3.4,0.2,2.1,31.7
02/01/2021,02/28/2021,2021,2.0,By Month,Arizona,Weighted distribution of population (%),54.4,5.4,1.8,4.2,0.2,2.2,31.7
03/01/2021,03/31/2021,2021,3.0,By Month,Arizona,Count of COVID-19 deaths,289.0,19.0,26.0,11.0,0.0,0.0,143.0
03/01/2021,03/31/2021,2021,3.0,By Month,Arizona,Distribution of COVID-19 deaths (%),58.3,3.8,5.2,2.2,0.0,0.0,28.8
03/01/2021,03/31/2021,2021,3.0,By Month,Arizona,Unweighted distribution of population (%),54.1,4.5,3.9,3.4,0.2,2.1,31.7
03/01/2021,03/31/2021,2021,3.0,By Month,Arizona,Weighted distribution of population (%),54.4,5.4,1.8,4.2,0.2,2.2,31.7
04/01/2021,04/24/2021,2021,4.0,By Month,Arizona,Count of COVID-19 deaths,68.0,0.0,12.0,0.0,0.0,0.0,39.0
04/01/2021,04/24/2021,2021,4.0,By Month,Arizona,Distribution of COVID-19 deaths (%),54.4,0.0,9.6,0.0,0.0,0.0,31.2
04/01/2021,04/24/2021,2021,4.0,By Month,Arizona,Unweighted distribution of population (%),54.1,4.5,3.9,3.4,0.2,2.1,31.7
