,data_as_of,start_date,end_date,group,year,mmwr_week,week_ending_date,state,covid_19_deaths,total_deaths,percent_of_expected_deaths,pneumonia_deaths,pneumonia_and_covid_19_deaths,influenza_deaths,pneumonia_influenza_or_covid_19_deaths,footnote
21,2021-05-04T00:00:00.000,2020-05-24T00:00:00.000,2020-05-30T00:00:00.000,By Week,2020,22,2020-05-30T00:00:00.000,United States,6158,59661,115.00,5283,2489,12,8964,
22,2021-05-04T00:00:00.000,2020-05-31T00:00:00.000,2020-06-06T00:00:00.000,By Week,2020,23,2020-06-06T00:00:00.000,United States,5037,58877,113.00,4902,2153,11,7797,
23,2021-05-04T00:00:00.000,2020-06-07T00:00:00.000,2020-06-13T00:00:00.000,By Week,2020,24,2020-06-13T00:00:00.000,United States,4224,58013,112.00,4546,1864,11,6914,
24,2021-05-04T00:00:00.000,2020-06-14T00:00:00.000,2020-06-20T00:00:00.000,By Week,2020,25,2020-06-20T00:00:00.000,United States,3835,57972,112.00,4374,1609,8,6607,
25,2021-05-04T00:00:00.000,2020-06-21T00:00:00.000,2020-06-27T00:00:00.000,By Week,2020,26,2020-06-27T00:00:00.000,United States,3828,58486,114.00,4275,1563,12,6551,
26,2021-05-04T00:00:00.000,2020-06-28T00:00:00.000,2020-07-04T00:00:00.000,By Week,2020,27,2020-07-04T00:00:00.000,United States,4531,59798,115.00,4566,2007,5,7092,
27,2021-05-04T00:00:00.000,2020-07-05T00:00:00.000,2020-07-11T00:00:00.000,By Week,2020,28,2020-07-11T00:00:00.000,United States,5767,61912,121.00,5546,2715,10,8607,
28,2021-05-04T00:00:00.000,2020-07-12T00:00:00.000,2020-07-18T00:00:00.000,By Week,2020,29,2020-07-18T00:00:00.000,United States,7174,63147,124.00,6194,3452,13,9926,
29,2021-05-04T00:00:00.000,2020-07-19T00:00:00.000,2020-07-25T00:00:00.000,By Week,2020,30,2020-07-25T00:00:00.000,United States,8213,64224,127.00,6767,3964,11,11022,
30,2021-05-04T00:00:00.000,2020-07-26T00:00:00.000,2020-08-01T00:00:00.000,By Week,2020,31,2020-08-01T00:00:00.000,United States,8292,64200,126.00,6847,4077,13,11068,
31,2021-05-04T00:00:00.000,2020-08-02T00:00:00.000,2020-08-08T00:00:00.000,By Week,2020,32,2020-08-08T00:00:00.000,United States,7849,63689,125.00,6819,3980,10,10695,
32,2021-05-04T00:00:00.000,2020-08-09T00:00:00.000,2020-08-15T00:00:00.000,By Week,2020,33,2020-08-15T00:00:00.000,United States,7234,63620,126.00,6521,3678,5,10079,
33,2021-05-04T00:00:00.000,2020-08-16T00:00:00.000,2020-08-22T00:00:00.000,By Week,2020,34,2020-08-22T00:00:00.000,United States,6361,62531,124.00,5977,3219,12,9128,
34,2021-05-04T00:00:00.000,2020-08-23T00:00:00.000,2020-08-29T00:00:00.000,By Week,2020,35,2020-08-29T00:00:00.000,United States,5716,61067,120.0,5553,2883,12,8393,
35,2021-05-04T00:00:00.000,2020-08-30T00:00:00.000,2020-09-05T00:00:00.000,By Week,2020,36,2020-09-05T00:00:00.000,United States,4998,60210,118.00,5218,2504,9,7717,
36,2021-05-04T00:00:00.000,2020-09-06T00:00:00.000,2020-09-12T00:00:00.000,By Week,2020,37,2020-09-12T00:00:00.000,United States,4609,59623,116.00,4944,2292,7,7266,
37,2021-05-04T00:00:00.000,2020-09-13T00:00:00.000,2020-09-19T00:00:00.000,By Week,2020,38,2020-09-19T00:00:00.000,United States,4256,59685,116.00,4780,2049,5,6992,
38,2021-05-04T00:00:00.000,2020-09-20T00:00:00.000,2020-09-26T00:00:00.000,By Week,2020,39,2020-09-26T00:00:00.000,United States,4279,60571,117.00,4941,2114,4,7109,
39,2021-05-04T00:00:00.000,2020-09-27T00:00:00.000,2020-10-03T00:00:00.000,By Week,2020,40,2020-10-03T00:00:00.000,United States,4220,59737,114.00,4829,2034,8,7023,
40,2021-05-04T00:00:00.000,2020-10-04T00:00:00.000,2020-10-10T00:00:00.000,By Week,2020,41,2020-10-10T00:00:00.000,United States,4796,61663,118.00,5177,2360,13,7623,
41,2021-05-04T00:00:00.000,2020-10-11T00:00:00.000,2020-10-17T00:00:00.000,By Week,2020,42,2020-10-17T00:00:00.000,United States,5162,60470,113.00,5202,2447,17,7927,
42,2021-05-04T00:00:00.000,2020-10-18T00:00:00.000,2020-10-24T00:00:00.000,By Week,2020,43,2020-10-24T00:00:00.000,United States,5947,62017,116.00,5636,2734,15,8857,
43,2021-05-04T00:00:00.000,2020-10-25T00:00:00.000,2020-10-31T00:00:00.000,By Week,2020,44,2020-10-31T00:00:00.000,United States,6978,63235,117.00,6133,3242,21,9885,
44,2021-05-04T00:00:00.000,2020-11-01T00:00:00.000,2020-11-07T00:00:00.000,By Week,2020,45,2020-11-07T00:00:00.000,United States,8710,67387,124.00,7077,4066,21,11734,
45,2021-05-04T00:00:00.000,2020-11-08T00:00:00.000,2020-11-14T00:00:00.000,By Week,2020,46,2020-11-14T00:00:00.000,United States,10572,68563,125.00,8033,5013,20,13606,
46,2021-05-04T00:00:00.000,2020-11-15T00:00:00.000,2020-11-21T00:00:00.000,By Week,2020,47,2020-11-21T00:00:00.000,United States,13247,71043,129.00,9363,6274,30,16356,
47,2021-05-04T00:00:00.000,2020-11-22T00:00:00.000,2020-11-28T00:00:00.000,By Week,2020,48,2020-11-28T00:00:00.000,United States,15486,72670,132.00,10391,7458,27,18432,
48,2021-05-04T00:00:00.000,2020-11-29T00:00:00.000,2020-12-05T00:00:00.000,By Week,2020,49,2020-12-05T00:00:00.000,United States,18443,76885,136.00,12040,8870,33,21633,
49,2021-05-04T00:00:00.000,2020-12-06T00:00:00.000,2020-12-12T00:00:00.000,By Week,2020,50,2020-12-12T00:00:00.000,United States,20805,81383,142.00,13230,10005,30,24045,
50,2021-05-04T00:00:00.000,2020-12-13T00:00:00.000,2020-12-19T00:00:00.000,By Week,2020,51,2020-12-19T00:00:00.000,United States,22160,82238,142.00,14229,10959,31,25442,
51,2021-05-04T00:00:00.000,2020-12-20T00:00:00.000,2020-12-26T00:00:00.000,By Week,2020,52,2020-12-26T00:00:00.000,United States,23150,83458,142.00,14795,11505,31,26455,
52,2021-05-04T00:00:00.000,2020-12-27T00:00:00.000,2021-01-02T00:00:00.000,By Week,2020/2021,53,2021-01-02T00:00:00.000,United States,24342,85345,145.00,15785,12438,43,27707,
53,2021-05-04T00:00:00.000,2021-01-03T00:00:00.000,2021-01-09T00:00:00.000,By Week,2021,1,2021-01-09T00:00:00.000,United States,24864,83643,136.00,16291,13034,32,28136,
54,2021-05-04T00:00:00.000,2021-01-10T00:00:00.000,2021-01-16T00:00:00.000,By Week,2021,2,2021-01-16T00:00:00.000,United States,24358,83424,134.00,16186,12948,34,27619,
55,2021-05-04T00:00:00.000,2021-01-17T00:00:00.000,2021-01-23T00:00:00.000,By Week,2021,3,2021-01-23T00:00:00.000,United States,22304,79707,131.00,15015,11925,31,25410,
56,2021-05-04T00:00:00.000,2021-01-24T00:00:00.000,2021-01-30T00:00:00.000,By Week,2021,4,2021-01-30T00:00:00.000,United States,19266,75699,127.00,13240,10300,33,22224,
57,2021-05-04T00:00:00.000,2021-01-31T00:00:00.000,2021-02-06T00:00:00.000,By Week,2021,5,2021-02-06T00:00:00.000,United States,16161,73143,123.00,11761,8819,27,19120,
58,2021-05-04T00:00:00.000,2021-02-07T00:00:00.000,2021-02-13T00:00:00.000,By Week,2021,6,2021-02-13T00:00:00.000,United States,12758,68129,114.00,9716,6917,22,15571,
59,2021-05-04T00:00:00.000,2021-02-14T00:00:00.000,2021-02-20T00:00:00.000,By Week,2021,7,2021-02-20T00:00:00.000,United States,10204,65915,112.00,8510,5623,15,13104,
60,2021-05-04T00:00:00.000,2021-02-21T00:00:00.000,2021-02-27T00:00:00.000,By Week,2021,8,2021-02-27T00:00:00.000,United States,8139,63041,108.00,7145,4421,19,10874,
61,2021-05-04T00:00:00.000,2021-02-28T00:00:00.000,2021-03-06T00:00:00.000,By Week,2021,9,2021-03-06T00:00:00.000,United States,6323,59718,104.00,6182,3455,25,9067,
62,2021-05-04T00:00:00.000,2021-03-07T00:00:00.000,2021-03-13T00:00:00.000,By Week,2021,10,2021-03-13T00:00:00.000,United States,5316,57755,100,5388,2849,13,7864,
63,2021-05-04T00:00:00.000,2021-03-14T00:00:00.000,2021-03-20T00:00:00.000,By Week,2021,11,2021-03-20T00:00:00.000,United States,4500,55824,98.00,4892,2370,7,7027,
64,2021-05-04T00:00:00.000,2021-03-21T00:00:00.000,2021-03-27T00:00:00.000,By Week,2021,12,2021-03-27T00:00:00.000,United States,4027,54924,97.00,4571,2133,15,6477,
65,2021-05-04T00:00:00.000,2021-03-28T00:00:00.000,2021-04-03T00:00:00.000,By Week,2021,13,2021-04-03T00:00:00.000,United States,3673,51748,93.00,4147,1905,15,5927,
66,2021-05-04T00:00:00.000,2021-04-04T00:00:00.000,2021-04-10T00:00:00.000,By Week,2021,14,2021-04-10T00:00:00.000,United States,3545,49432,89.00,4016,1863,8,5704,
67,2021-05-04T00:00:00.000,2021-04-11T00:00:00.000,2021-04-17T00:00:00.000,By Week,2021,15,2021-04-17T00:00:00.000,United States,2994,39219,71.00,3169,1604,2,4559,
68,2021-05-04T00:00:00.000,2021-04-18T00:00:00.000,2021-04-24T00:00:00.000,By Week,2021,16,2021-04-24T00:00:00.000,United States,2295,29488,55.00,2382,1234,8,3449,
69,2021-05-04T00:00:00.000,2021-04-25T00:00:00.000,2021-05-01T00:00:00.000,By Week,2021,17,2021-05-01T00:00:00.000,United States,658,8743,16.00,666,344,0,980,
70,2021-05-04T00:00:00.000,2019-12-29T00:00:00.000,2020-01-04T00:00:00.000,By Week,2019/2020,1,2020-01-04T00:00:00.000,Alabama,0,1082,94.00,63,0,,69,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
71,2021-05-04T00:00:00.000,2020-01-05T00:00:00.000,2020-01-11T00:00:00.000,By Week,2020,2,2020-01-11T00:00:00.000,Alabama,0,1127,96.00,79,0,10,89,
72,2021-05-04T00:00:00.000,2020-01-12T00:00:00.000,2020-01-18T00:00:00.000,By Week,2020,3,2020-01-18T00:00:00.000,Alabama,0,1039,91.00,62,0,,65,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
73,2021-05-04T00:00:00.000,2020-01-19T00:00:00.000,2020-01-25T00:00:00.000,By Week,2020,4,2020-01-25T00:00:00.000,Alabama,,1056,94.00,62,0,,70,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
74,2021-05-04T00:00:00.000,2020-01-26T00:00:00.000,2020-02-01T00:00:00.000,By Week,2020,5,2020-02-01T00:00:00.000,Alabama,0,1026,94.00,56,0,14,70,
75,2021-05-04T00:00:00.000,2020-02-02T00:00:00.000,2020-02-08T00:00:00.000,By Week,2020,6,2020-02-08T00:00:00.000,Alabama,0,1120,101.00,61,0,10,71,
76,2021-05-04T00:00:00.000,2020-02-09T00:00:00.000,2020-02-15T00:00:00.000,By Week,2020,7,2020-02-15T00:00:00.000,Alabama,0,1095,101.00,77,0,,83,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
77,2021-05-04T00:00:00.000,2020-02-16T00:00:00.000,2020-02-22T00:00:00.000,By Week,2020,8,2020-02-22T00:00:00.000,Alabama,0,1098,101.00,68,0,,73,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
78,2021-05-04T00:00:00.000,2020-02-23T00:00:00.000,2020-02-29T00:00:00.000,By Week,2020,9,2020-02-29T00:00:00.000,Alabama,,1164,112.00,63,0,14,78,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
79,2021-05-04T00:00:00.000,2020-03-01T00:00:00.000,2020-03-07T00:00:00.000,By Week,2020,10,2020-03-07T00:00:00.000,Alabama,0,1057,101.00,58,0,13,71,
80,2021-05-04T00:00:00.000,2020-03-08T00:00:00.000,2020-03-14T00:00:00.000,By Week,2020,11,2020-03-14T00:00:00.000,Alabama,0,1091,101.00,61,0,,68,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
81,2021-05-04T00:00:00.000,2020-03-15T00:00:00.000,2020-03-21T00:00:00.000,By Week,2020,12,2020-03-21T00:00:00.000,Alabama,,1059,103.00,71,,,79,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
82,2021-05-04T00:00:00.000,2020-03-22T00:00:00.000,2020-03-28T00:00:00.000,By Week,2020,13,2020-03-28T00:00:00.000,Alabama,23,1073,105.00,69,,,93,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
83,2021-05-04T00:00:00.000,2020-03-29T00:00:00.000,2020-04-04T00:00:00.000,By Week,2020,14,2020-04-04T00:00:00.000,Alabama,49,1156,112.00,65,11,,106,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
84,2021-05-04T00:00:00.000,2020-04-05T00:00:00.000,2020-04-11T00:00:00.000,By Week,2020,15,2020-04-11T00:00:00.000,Alabama,81,1135,111.00,85,27,,143,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
85,2021-05-04T00:00:00.000,2020-04-12T00:00:00.000,2020-04-18T00:00:00.000,By Week,2020,16,2020-04-18T00:00:00.000,Alabama,89,1149,117.00,94,26,0,157,
86,2021-05-04T00:00:00.000,2020-04-19T00:00:00.000,2020-04-25T00:00:00.000,By Week,2020,17,2020-04-25T00:00:00.000,Alabama,84,1139,114.00,77,19,,143,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
87,2021-05-04T00:00:00.000,2020-04-26T00:00:00.000,2020-05-02T00:00:00.000,By Week,2020,18,2020-05-02T00:00:00.000,Alabama,81,1147,116.00,87,26,,143,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
88,2021-05-04T00:00:00.000,2020-05-03T00:00:00.000,2020-05-09T00:00:00.000,By Week,2020,19,2020-05-09T00:00:00.000,Alabama,116,1171,116.00,94,34,,176,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
89,2021-05-04T00:00:00.000,2020-05-10T00:00:00.000,2020-05-16T00:00:00.000,By Week,2020,20,2020-05-16T00:00:00.000,Alabama,95,1148,115.00,89,30,,155,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
90,2021-05-04T00:00:00.000,2020-05-17T00:00:00.000,2020-05-23T00:00:00.000,By Week,2020,21,2020-05-23T00:00:00.000,Alabama,80,1153,118.00,82,23,0,139,
91,2021-05-04T00:00:00.000,2020-05-24T00:00:00.000,2020-05-30T00:00:00.000,By Week,2020,22,2020-05-30T00:00:00.000,Alabama,103,1109,114.00,95,30,,169,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
92,2021-05-04T00:00:00.000,2020-05-31T00:00:00.000,2020-06-06T00:00:00.000,By Week,2020,23,2020-06-06T00:00:00.000,Alabama,91,1173,116.00,86,33,,145,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
93,2021-05-04T00:00:00.000,2020-06-07T00:00:00.000,2020-06-13T00:00:00.000,By Week,2020,24,2020-06-13T00:00:00.000,Alabama,81,1138,120.0,76,29,0,128,
94,2021-05-04T00:00:00.000,2020-06-14T00:00:00.000,2020-06-20T00:00:00.000,By Week,2020,25,2020-06-20T00:00:00.000,Alabama,88,1090,112.00,80,25,0,143,
95,2021-05-04T00:00:00.000,2020-06-21T00:00:00.000,2020-06-27T00:00:00.000,By Week,2020,26,2020-06-27T00:00:00.000,Alabama,103,1151,124.00,83,31,0,155,
96,2021-05-04T00:00:00.000,2020-06-28T00:00:00.000,2020-07-04T00:00:00.000,By Week,2020,27,2020-07-04T00:00:00.000,Alabama,122,1200,122.00,94,48,,168,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
97,2021-05-04T00:00:00.000,2020-07-05T00:00:00.000,2020-07-11T00:00:00.000,By Week,2020,28,2020-07-11T00:00:00.000,Alabama,135,1265,127.00,95,36,0,194,
98,2021-05-04T00:00:00.000,2020-07-12T00:00:00.000,2020-07-18T00:00:00.000,By Week,2020,29,2020-07-18T00:00:00.000,Alabama,191,1289,134.00,102,45,0,248,
99,2021-05-04T00:00:00.000,2020-07-19T00:00:00.000,2020-07-25T00:00:00.000,By Week,2020,30,2020-07-25T00:00:00.000,Alabama,250,1333,143.00,137,89,,299,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
100,2021-05-04T00:00:00.000,2020-07-26T00:00:00.000,2020-08-01T00:00:00.000,By Week,2020,31,2020-08-01T00:00:00.000,Alabama,262,1364,141.00,158,95,,326,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
101,2021-05-04T00:00:00.000,2020-08-02T00:00:00.000,2020-08-08T00:00:00.000,By Week,2020,32,2020-08-08T00:00:00.000,Alabama,263,1379,143.00,135,87,,312,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
102,2021-05-04T00:00:00.000,2020-08-09T00:00:00.000,2020-08-15T00:00:00.000,By Week,2020,33,2020-08-15T00:00:00.000,Alabama,228,1305,137.00,140,83,0,285,
103,2021-05-04T00:00:00.000,2020-08-16T00:00:00.000,2020-08-22T00:00:00.000,By Week,2020,34,2020-08-22T00:00:00.000,Alabama,209,1303,140.0,118,64,0,263,
104,2021-05-04T00:00:00.000,2020-08-23T00:00:00.000,2020-08-29T00:00:00.000,By Week,2020,35,2020-08-29T00:00:00.000,Alabama,185,1216,127.00,130,71,0,244,
105,2021-05-04T00:00:00.000,2020-08-30T00:00:00.000,2020-09-05T00:00:00.000,By Week,2020,36,2020-09-05T00:00:00.000,Alabama,155,1216,125.00,110,58,0,207,
106,2021-05-04T00:00:00.000,2020-09-06T00:00:00.000,2020-09-12T00:00:00.000,By Week,2020,37,2020-09-12T00:00:00.000,Alabama,138,1232,128.00,110,50,0,198,
107,2021-05-04T00:00:00.000,2020-09-13T00:00:00.000,2020-09-19T00:00:00.000,By Week,2020,38,2020-09-19T00:00:00.000,Alabama,138,1200,125.00,98,46,0,190,
108,2021-05-04T00:00:00.000,2020-09-20T00:00:00.000,2020-09-26T00:00:00.000,By Week,2020,39,2020-09-26T00:00:00.000,Alabama,105,1183,119.00,78,31,0,152,
109,2021-05-04T00:00:00.000,2020-09-27T00:00:00.000,2020-10-03T00:00:00.000,By Week,2020,40,2020-10-03T00:00:00.000,Alabama,110,1103,116.00,93,36,0,167,
110,2021-05-04T00:00:00.000,2020-10-04T00:00:00.000,2020-10-10T00:00:00.000,By Week,2020,41,2020-10-10T00:00:00.000,Alabama,136,1204,127.00,103,50,,190,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
111,2021-05-04T00:00:00.000,2020-10-11T00:00:00.000,2020-10-17T00:00:00.000,By Week,2020,42,2020-10-17T00:00:00.000,Alabama,125,1190,121.00,88,41,0,172,
112,2021-05-04T00:00:00.000,2020-10-18T00:00:00.000,2020-10-24T00:00:00.000,By Week,2020,43,2020-10-24T00:00:00.000,Alabama,119,1142,118.00,102,35,,187,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
113,2021-05-04T00:00:00.000,2020-10-25T00:00:00.000,2020-10-31T00:00:00.000,By Week,2020,44,2020-10-31T00:00:00.000,Alabama,131,1169,123.00,104,47,0,188,
114,2021-05-04T00:00:00.000,2020-11-01T00:00:00.000,2020-11-07T00:00:00.000,By Week,2020,45,2020-11-07T00:00:00.000,Alabama,150,1277,128.00,103,50,0,203,
115,2021-05-04T00:00:00.000,2020-11-08T00:00:00.000,2020-11-14T00:00:00.000,By Week,2020,46,2020-11-14T00:00:00.000,Alabama,175,1269,122.00,116,61,0,230,
116,2021-05-04T00:00:00.000,2020-11-15T00:00:00.000,2020-11-21T00:00:00.000,By Week,2020,47,2020-11-21T00:00:00.000,Alabama,168,1275,125.00,98,46,,220,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
117,2021-05-04T00:00:00.000,2020-11-22T00:00:00.000,2020-11-28T00:00:00.000,By Week,2020,48,2020-11-28T00:00:00.000,Alabama,201,1326,126.00,107,56,,253,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
118,2021-05-04T00:00:00.000,2020-11-29T00:00:00.000,2020-12-05T00:00:00.000,By Week,2020,49,2020-12-05T00:00:00.000,Alabama,248,1354,127.00,126,71,0,303,
119,2021-05-04T00:00:00.000,2020-12-06T00:00:00.000,2020-12-12T00:00:00.000,By Week,2020,50,2020-12-12T00:00:00.000,Alabama,374,1599,147.00,195,130,,439,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
120,2021-05-04T00:00:00.000,2020-12-13T00:00:00.000,2020-12-19T00:00:00.000,By Week,2020,51,2020-12-19T00:00:00.000,Alabama,387,1584,144.00,210,144,,453,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
121,2021-05-04T00:00:00.000,2020-12-20T00:00:00.000,2020-12-26T00:00:00.000,By Week,2020,52,2020-12-26T00:00:00.000,Alabama,449,1625,152.00,193,137,,506,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
122,2021-05-04T00:00:00.000,2020-12-27T00:00:00.000,2021-01-02T00:00:00.000,By Week,2020/2021,53,2021-01-02T00:00:00.000,Alabama,505,1801,169.00,245,181,,573,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
123,2021-05-04T00:00:00.000,2021-01-03T00:00:00.000,2021-01-09T00:00:00.000,By Week,2021,1,2021-01-09T00:00:00.000,Alabama,538,1792,156.00,250,184,,604,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
124,2021-05-04T00:00:00.000,2021-01-10T00:00:00.000,2021-01-16T00:00:00.000,By Week,2021,2,2021-01-16T00:00:00.000,Alabama,584,1807,154.00,301,237,,651,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
125,2021-05-04T00:00:00.000,2021-01-17T00:00:00.000,2021-01-23T00:00:00.000,By Week,2021,3,2021-01-23T00:00:00.000,Alabama,563,1766,154.00,257,203,,617,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
126,2021-05-04T00:00:00.000,2021-01-24T00:00:00.000,2021-01-30T00:00:00.000,By Week,2021,4,2021-01-30T00:00:00.000,Alabama,482,1623,144.00,239,177,,544,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
127,2021-05-04T00:00:00.000,2021-01-31T00:00:00.000,2021-02-06T00:00:00.000,By Week,2021,5,2021-02-06T00:00:00.000,Alabama,341,1486,136.00,179,120,,401,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
128,2021-05-04T00:00:00.000,2021-02-07T00:00:00.000,2021-02-13T00:00:00.000,By Week,2021,6,2021-02-13T00:00:00.000,Alabama,260,1399,126.00,145,101,,305,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
129,2021-05-04T00:00:00.000,2021-02-14T00:00:00.000,2021-02-20T00:00:00.000,By Week,2021,7,2021-02-20T00:00:00.000,Alabama,207,1307,120.0,119,64,,264,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
