Data as of,Start Date,End Date,Year,Month,Group,State,Indicator,Non-Hispanic White,Non-Hispanic Black or African American,Non-Hispanic American Indian or Alaska Native,Non-Hispanic Asian,Non-Hispanic Native Hawaiian or Other Pacific Islander,Non Hispanic more than one race,Hispanic or Latino,Footnote
04/28/2021,01/01/2020,01/31/2020,2020,1,By Month,United States,Count of COVID-19 deaths,2,1,0,0,0,0,1,
04/28/2021,01/01/2020,01/31/2020,2020,1,By Month,United States,Distribution of COVID-19 deaths (%),50,25,0,0,0,0,25,
04/28/2021,01/01/2020,01/31/2020,2020,1,By Month,United States,Unweighted distribution of population (%),60.1,12.5,0.7,5.8,0.2,2.2,18.5,
04/28/2021,01/01/2020,01/31/2020,2020,1,By Month,United States,Weighted distribution of population (%),27.8,11.7,0.3,13.6,0.2,2.1,44.3,
04/28/2021,02/01/2020,02/29/2020,2020,2,By Month,United States,Count of COVID-19 deaths,12,0,0,1,0,0,3,
04/28/2021,02/01/2020,02/29/2020,2020,2,By Month,United States,Distribution of COVID-19 deaths (%),75,0,0,6.2,0,0,18.8,
04/28/2021,02/01/2020,02/29/2020,2020,2,By Month,United States,Unweighted distribution of population (%),60.1,12.5,0.7,5.8,0.2,2.2,18.5,
04/28/2021,02/01/2020,02/29/2020,2020,2,By Month,United States,Weighted distribution of population (%),50.6,8.8,0.4,19.2,0.5,3.4,17.1,
04/28/2021,03/01/2020,03/31/2020,2020,3,By Month,United States,Count of COVID-19 deaths,3227,2169,30,439,6,18,1120,
04/28/2021,03/01/2020,03/31/2020,2020,3,By Month,United States,Distribution of COVID-19 deaths (%),45.4,30.5,0.4,6.2,0.1,0.3,15.8,
04/28/2021,03/01/2020,03/31/2020,2020,3,By Month,United States,Unweighted distribution of population (%),60.1,12.5,0.7,5.8,0.2,2.2,18.5,
04/28/2021,03/01/2020,03/31/2020,2020,3,By Month,United States,Weighted distribution of population (%),40.3,19,0.3,12.3,0.1,2,26.1,
04/28/2021,04/01/2020,04/30/2020,2020,4,By Month,United States,Count of COVID-19 deaths,33100,16343,297,3457,41,159,11057,
04/28/2021,04/01/2020,04/30/2020,2020,4,By Month,United States,Distribution of COVID-19 deaths (%),50.7,25,0.5,5.3,0.1,0.2,16.9,
04/28/2021,04/01/2020,04/30/2020,2020,4,By Month,United States,Unweighted distribution of population (%),60.1,12.5,0.7,5.8,0.2,2.2,18.5,
04/28/2021,04/01/2020,04/30/2020,2020,4,By Month,United States,Weighted distribution of population (%),41.9,18.1,0.2,11.1,0.1,1.9,26.6,
04/28/2021,05/01/2020,05/31/2020,2020,5,By Month,United States,Count of COVID-19 deaths,21745,7819,436,1642,38,89,6223,
04/28/2021,05/01/2020,05/31/2020,2020,5,By Month,United States,Distribution of COVID-19 deaths (%),56.9,20.5,1.1,4.3,0.1,0.2,16.3,
04/28/2021,05/01/2020,05/31/2020,2020,5,By Month,United States,Unweighted distribution of population (%),60.1,12.5,0.7,5.8,0.2,2.2,18.5,
04/28/2021,05/01/2020,05/31/2020,2020,5,By Month,United States,Weighted distribution of population (%),43,15.8,0.3,9.8,0.1,2,29,
04/28/2021,06/01/2020,06/30/2020,2020,6,By Month,United States,Count of COVID-19 deaths,8954,3441,383,692,67,53,4288,
04/28/2021,06/01/2020,06/30/2020,2020,6,By Month,United States,Distribution of COVID-19 deaths (%),49.9,19.2,2.1,3.9,0.4,0.3,23.9,
04/28/2021,06/01/2020,06/30/2020,2020,6,By Month,United States,Unweighted distribution of population (%),60.1,12.5,0.7,5.8,0.2,2.2,18.5,
04/28/2021,06/01/2020,06/30/2020,2020,6,By Month,United States,Weighted distribution of population (%),39.4,13.6,0.4,9.6,0.2,2,34.8,
04/28/2021,07/01/2020,07/31/2020,2020,7,By Month,United States,Count of COVID-19 deaths,13899,5565,432,862,95,104,10009,
04/28/2021,07/01/2020,07/31/2020,2020,7,By Month,United States,Distribution of COVID-19 deaths (%),44.8,17.9,1.4,2.8,0.3,0.3,32.3,
04/28/2021,07/01/2020,07/31/2020,2020,7,By Month,United States,Unweighted distribution of population (%),60.1,12.5,0.7,5.8,0.2,2.2,18.5,
04/28/2021,07/01/2020,07/31/2020,2020,7,By Month,United States,Weighted distribution of population (%),36.8,12.2,0.5,8.2,0.2,1.9,40.3,
04/28/2021,08/01/2020,08/31/2020,2020,8,By Month,United States,Count of COVID-19 deaths,15227,5342,335,849,67,97,7793,
04/28/2021,08/01/2020,08/31/2020,2020,8,By Month,United States,Distribution of COVID-19 deaths (%),51.2,17.9,1.1,2.9,0.2,0.3,26.2,
04/28/2021,08/01/2020,08/31/2020,2020,8,By Month,United States,Unweighted distribution of population (%),60.1,12.5,0.7,5.8,0.2,2.2,18.5,
04/28/2021,08/01/2020,08/31/2020,2020,8,By Month,United States,Weighted distribution of population (%),36.9,12.7,0.4,8.7,0.2,2,39.1,
04/28/2021,09/01/2020,09/30/2020,2020,9,By Month,United States,Count of COVID-19 deaths,11507,2969,244,607,68,71,3566,
04/28/2021,09/01/2020,09/30/2020,2020,9,By Month,United States,Distribution of COVID-19 deaths (%),60.4,15.6,1.3,3.2,0.4,0.4,18.7,
04/28/2021,09/01/2020,09/30/2020,2020,9,By Month,United States,Unweighted distribution of population (%),60.1,12.5,0.7,5.8,0.2,2.2,18.5,
04/28/2021,09/01/2020,09/30/2020,2020,9,By Month,United States,Weighted distribution of population (%),38.8,13.2,0.4,9.4,0.2,2.2,35.8,
04/28/2021,10/01/2020,10/31/2020,2020,10,By Month,United States,Count of COVID-19 deaths,17439,2710,413,522,51,82,3384,
04/28/2021,10/01/2020,10/31/2020,2020,10,By Month,United States,Distribution of COVID-19 deaths (%),70.8,11,1.7,2.1,0.2,0.3,13.7,
04/28/2021,10/01/2020,10/31/2020,2020,10,By Month,United States,Unweighted distribution of population (%),60.1,12.5,0.7,5.8,0.2,2.2,18.5,
04/28/2021,10/01/2020,10/31/2020,2020,10,By Month,United States,Weighted distribution of population (%),43.2,13.7,0.4,8.5,0.2,2.2,31.8,
04/28/2021,11/01/2020,11/30/2020,2020,11,By Month,United States,Count of COVID-19 deaths,38800,4846,789,1064,80,140,6939,
04/28/2021,11/01/2020,11/30/2020,2020,11,By Month,United States,Distribution of COVID-19 deaths (%),73.6,9.2,1.5,2,0.2,0.3,13.2,
04/28/2021,11/01/2020,11/30/2020,2020,11,By Month,United States,Unweighted distribution of population (%),60.1,12.5,0.7,5.8,0.2,2.2,18.5,
04/28/2021,11/01/2020,11/30/2020,2020,11,By Month,United States,Weighted distribution of population (%),45.8,14.1,0.5,7.9,0.2,2.1,29.4,
04/28/2021,12/01/2020,12/31/2020,2020,12,By Month,United States,Count of COVID-19 deaths,67451,9696,1221,3324,173,319,14839,
04/28/2021,12/01/2020,12/31/2020,2020,12,By Month,United States,Distribution of COVID-19 deaths (%),69.4,10,1.3,3.4,0.2,0.3,15.3,
04/28/2021,12/01/2020,12/31/2020,2020,12,By Month,United States,Unweighted distribution of population (%),60.1,12.5,0.7,5.8,0.2,2.2,18.5,
04/28/2021,12/01/2020,12/31/2020,2020,12,By Month,United States,Weighted distribution of population (%),40.5,11.6,0.4,10.3,0.2,2.2,34.9,
04/28/2021,01/01/2021,01/31/2021,2021,1,By Month,United States,Count of COVID-19 deaths,62854,10850,1112,4687,188,398,19602,
04/28/2021,01/01/2021,01/31/2021,2021,1,By Month,United States,Distribution of COVID-19 deaths (%),62.9,10.9,1.1,4.7,0.2,0.4,19.6,
04/28/2021,01/01/2021,01/31/2021,2021,1,By Month,United States,Unweighted distribution of population (%),60.1,12.5,0.7,5.8,0.2,2.2,18.5,
04/28/2021,01/01/2021,01/31/2021,2021,1,By Month,United States,Weighted distribution of population (%),36.9,10.6,0.4,11.2,0.2,2.2,38.5,
04/28/2021,02/01/2021,02/28/2021,2021,2,By Month,United States,Count of COVID-19 deaths,26802,6060,455,2170,89,160,9782,
04/28/2021,02/01/2021,02/28/2021,2021,2,By Month,United States,Distribution of COVID-19 deaths (%),58.8,13.3,1,4.8,0.2,0.4,21.4,
04/28/2021,02/01/2021,02/28/2021,2021,2,By Month,United States,Unweighted distribution of population (%),60.1,12.5,0.7,5.8,0.2,2.2,18.5,
04/28/2021,02/01/2021,02/28/2021,2021,2,By Month,United States,Weighted distribution of population (%),37.5,11.7,0.4,10.7,0.2,2.1,37.4,
04/28/2021,03/01/2021,03/31/2021,2021,3,By Month,United States,Count of COVID-19 deaths,12342,3151,151,1012,36,71,4156,
04/28/2021,03/01/2021,03/31/2021,2021,3,By Month,United States,Distribution of COVID-19 deaths (%),58.9,15,0.7,4.8,0.2,0.3,19.8,
04/28/2021,03/01/2021,03/31/2021,2021,3,By Month,United States,Unweighted distribution of population (%),60.1,12.5,0.7,5.8,0.2,2.2,18.5,
04/28/2021,03/01/2021,03/31/2021,2021,3,By Month,United States,Weighted distribution of population (%),39.4,14.2,0.4,9.7,0.2,2,34.2,
04/28/2021,04/01/2021,04/24/2021,2021,4,By Month,United States,Count of COVID-19 deaths,5068,1256,44,361,18,32,1326,
04/28/2021,04/01/2021,04/24/2021,2021,4,By Month,United States,Distribution of COVID-19 deaths (%),62.3,15.4,0.5,4.4,0.2,0.4,16.3,
04/28/2021,04/01/2021,04/24/2021,2021,4,By Month,United States,Unweighted distribution of population (%),60.1,12.5,0.7,5.8,0.2,2.2,18.5,
04/28/2021,04/01/2021,04/24/2021,2021,4,By Month,United States,Weighted distribution of population (%),43.7,17.4,0.3,8.8,0.1,2,27.7,
04/28/2021,01/01/2020,04/24/2021,2020/2021,,By Total,Alabama,Count of COVID-19 deaths,7094,3051,16,48,,,188,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
04/28/2021,01/01/2020,04/24/2021,2020/2021,,By Total,Alabama,Distribution of COVID-19 deaths (%),68.1,29.3,0.2,0.5,,,1.8,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
04/28/2021,01/01/2020,04/24/2021,2020/2021,,By Total,Alabama,Unweighted distribution of population (%),65.3,26.5,0.6,1.5,0.1,1.6,4.6,
04/28/2021,01/01/2020,04/24/2021,2020/2021,,By Total,Alabama,Weighted distribution of population (%),55.5,36.6,0.4,1.9,0,1.5,4.1,
04/28/2021,01/01/2020,12/31/2020,2020,,By Year,Alabama,Count of COVID-19 deaths,4453,2024,10,29,,,133,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
04/28/2021,01/01/2020,12/31/2020,2020,,By Year,Alabama,Distribution of COVID-19 deaths (%),66.9,30.4,0.2,0.4,,,2,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
04/28/2021,01/01/2020,12/31/2020,2020,,By Year,Alabama,Unweighted distribution of population (%),65.3,26.5,0.6,1.5,0.1,1.6,4.6,
04/28/2021,01/01/2020,12/31/2020,2020,,By Year,Alabama,Weighted distribution of population (%),55.5,36.5,0.4,1.9,0,1.5,4.1,
04/28/2021,01/01/2021,04/24/2021,2021,,By Year,Alabama,Count of COVID-19 deaths,2641,1027,,19,0,,55,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
04/28/2021,01/01/2021,04/24/2021,2021,,By Year,Alabama,Distribution of COVID-19 deaths (%),70.4,27.4,,0.5,0,,1.5,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
04/28/2021,01/01/2021,04/24/2021,2021,,By Year,Alabama,Unweighted distribution of population (%),65.3,26.5,0.6,1.5,0.1,1.6,4.6,
04/28/2021,01/01/2021,04/24/2021,2021,,By Year,Alabama,Weighted distribution of population (%),55.3,36.7,0.4,1.9,0,1.5,4.2,
04/28/2021,01/01/2020,01/31/2020,2020,1,By Month,Alabama,Count of COVID-19 deaths,0,0,0,0,0,0,0,
04/28/2021,01/01/2020,01/31/2020,2020,1,By Month,Alabama,Distribution of COVID-19 deaths (%),0,0,0,0,0,0,0,
04/28/2021,01/01/2020,01/31/2020,2020,1,By Month,Alabama,Unweighted distribution of population (%),65.3,26.5,0.6,1.5,0.1,1.6,4.6,
04/28/2021,01/01/2020,01/31/2020,2020,1,By Month,Alabama,Weighted distribution of population (%),0,0,0,0,0,0,0,
04/28/2021,02/01/2020,02/29/2020,2020,2,By Month,Alabama,Count of COVID-19 deaths,,0,0,0,0,0,0,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
04/28/2021,02/01/2020,02/29/2020,2020,2,By Month,Alabama,Distribution of COVID-19 deaths (%),,0,0,0,0,0,0,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
04/28/2021,02/01/2020,02/29/2020,2020,2,By Month,Alabama,Unweighted distribution of population (%),65.3,26.5,0.6,1.5,0.1,1.6,4.6,
04/28/2021,02/01/2020,02/29/2020,2020,2,By Month,Alabama,Weighted distribution of population (%),49.5,43.1,0.2,1.8,0,1.2,4.1,
04/28/2021,03/01/2020,03/31/2020,2020,3,By Month,Alabama,Count of COVID-19 deaths,26,18,0,,0,0,0,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
04/28/2021,03/01/2020,03/31/2020,2020,3,By Month,Alabama,Distribution of COVID-19 deaths (%),54.2,37.5,0,,0,0,0,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
04/28/2021,03/01/2020,03/31/2020,2020,3,By Month,Alabama,Unweighted distribution of population (%),65.3,26.5,0.6,1.5,0.1,1.6,4.6,
04/28/2021,03/01/2020,03/31/2020,2020,3,By Month,Alabama,Weighted distribution of population (%),55.7,36.4,0.4,2.1,0,1.4,4,
04/28/2021,04/01/2020,04/30/2020,2020,4,By Month,Alabama,Count of COVID-19 deaths,170,159,,,0,0,,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
04/28/2021,04/01/2020,04/30/2020,2020,4,By Month,Alabama,Distribution of COVID-19 deaths (%),50.3,47,,,0,0,,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
04/28/2021,04/01/2020,04/30/2020,2020,4,By Month,Alabama,Unweighted distribution of population (%),65.3,26.5,0.6,1.5,0.1,1.6,4.6,
04/28/2021,04/01/2020,04/30/2020,2020,4,By Month,Alabama,Weighted distribution of population (%),54.7,37.6,0.4,2,0,1.4,3.8,
04/28/2021,05/01/2020,05/31/2020,2020,5,By Month,Alabama,Count of COVID-19 deaths,196,215,0,,0,0,,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
04/28/2021,05/01/2020,05/31/2020,2020,5,By Month,Alabama,Distribution of COVID-19 deaths (%),46,50.5,0,,0,0,,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
04/28/2021,05/01/2020,05/31/2020,2020,5,By Month,Alabama,Unweighted distribution of population (%),65.3,26.5,0.6,1.5,0.1,1.6,4.6,
04/28/2021,05/01/2020,05/31/2020,2020,5,By Month,Alabama,Weighted distribution of population (%),51.7,40.7,0.4,2,0,1.4,3.7,
04/28/2021,06/01/2020,06/30/2020,2020,6,By Month,Alabama,Count of COVID-19 deaths,188,186,0,0,0,0,24,
04/28/2021,06/01/2020,06/30/2020,2020,6,By Month,Alabama,Distribution of COVID-19 deaths (%),47.1,46.6,0,0,0,0,6,
04/28/2021,06/01/2020,06/30/2020,2020,6,By Month,Alabama,Unweighted distribution of population (%),65.3,26.5,0.6,1.5,0.1,1.6,4.6,
04/28/2021,06/01/2020,06/30/2020,2020,6,By Month,Alabama,Weighted distribution of population (%),50.6,41.7,0.3,2.1,0,1.3,3.9,
04/28/2021,07/01/2020,07/31/2020,2020,7,By Month,Alabama,Count of COVID-19 deaths,551,294,,,0,0,24,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
04/28/2021,07/01/2020,07/31/2020,2020,7,By Month,Alabama,Distribution of COVID-19 deaths (%),63.1,33.7,,,0,0,2.7,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
04/28/2021,07/01/2020,07/31/2020,2020,7,By Month,Alabama,Unweighted distribution of population (%),65.3,26.5,0.6,1.5,0.1,1.6,4.6,
04/28/2021,07/01/2020,07/31/2020,2020,7,By Month,Alabama,Weighted distribution of population (%),56.2,35.8,0.4,1.9,0,1.5,4.2,
04/28/2021,08/01/2020,08/31/2020,2020,8,By Month,Alabama,Count of COVID-19 deaths,623,303,,,0,,23,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
04/28/2021,08/01/2020,08/31/2020,2020,8,By Month,Alabama,Distribution of COVID-19 deaths (%),64.9,31.6,,,0,,2.4,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
04/28/2021,08/01/2020,08/31/2020,2020,8,By Month,Alabama,Unweighted distribution of population (%),65.3,26.5,0.6,1.5,0.1,1.6,4.6,
04/28/2021,08/01/2020,08/31/2020,2020,8,By Month,Alabama,Weighted distribution of population (%),57.1,35.1,0.4,1.8,0,1.5,4.1,
04/28/2021,09/01/2020,09/30/2020,2020,9,By Month,Alabama,Count of COVID-19 deaths,388,164,,,0,0,,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
04/28/2021,09/01/2020,09/30/2020,2020,9,By Month,Alabama,Distribution of COVID-19 deaths (%),68.7,29,,,0,0,,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
04/28/2021,09/01/2020,09/30/2020,2020,9,By Month,Alabama,Unweighted distribution of population (%),65.3,26.5,0.6,1.5,0.1,1.6,4.6,
04/28/2021,09/01/2020,09/30/2020,2020,9,By Month,Alabama,Weighted distribution of population (%),56.3,35.9,0.4,1.8,0,1.5,4.1,
04/28/2021,10/01/2020,10/31/2020,2020,10,By Month,Alabama,Count of COVID-19 deaths,422,129,0,,0,0,,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
04/28/2021,10/01/2020,10/31/2020,2020,10,By Month,Alabama,Distribution of COVID-19 deaths (%),75.8,23.2,0,,0,0,,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
04/28/2021,10/01/2020,10/31/2020,2020,10,By Month,Alabama,Unweighted distribution of population (%),65.3,26.5,0.6,1.5,0.1,1.6,4.6,
04/28/2021,10/01/2020,10/31/2020,2020,10,By Month,Alabama,Weighted distribution of population (%),57,35,0.4,1.8,0,1.5,4.2,
04/28/2021,11/01/2020,11/30/2020,2020,11,By Month,Alabama,Count of COVID-19 deaths,561,176,,,0,0,15,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
04/28/2021,11/01/2020,11/30/2020,2020,11,By Month,Alabama,Distribution of COVID-19 deaths (%),73.7,23.1,,,0,0,2,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
04/28/2021,11/01/2020,11/30/2020,2020,11,By Month,Alabama,Unweighted distribution of population (%),65.3,26.5,0.6,1.5,0.1,1.6,4.6,
04/28/2021,11/01/2020,11/30/2020,2020,11,By Month,Alabama,Weighted distribution of population (%),55.9,36,0.4,1.9,0,1.5,4.3,
04/28/2021,12/01/2020,12/31/2020,2020,12,By Month,Alabama,Count of COVID-19 deaths,1327,380,,,,0,18,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
04/28/2021,12/01/2020,12/31/2020,2020,12,By Month,Alabama,Distribution of COVID-19 deaths (%),76.6,21.9,,,,0,1,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
04/28/2021,12/01/2020,12/31/2020,2020,12,By Month,Alabama,Unweighted distribution of population (%),65.3,26.5,0.6,1.5,0.1,1.6,4.6,
04/28/2021,12/01/2020,12/31/2020,2020,12,By Month,Alabama,Weighted distribution of population (%),55.9,36.1,0.4,1.8,0,1.5,4.3,
04/28/2021,01/01/2021,01/31/2021,2021,1,By Month,Alabama,Count of COVID-19 deaths,1707,605,,11,0,,31,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
04/28/2021,01/01/2021,01/31/2021,2021,1,By Month,Alabama,Distribution of COVID-19 deaths (%),72.3,25.6,,0.5,0,,1.3,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
04/28/2021,01/01/2021,01/31/2021,2021,1,By Month,Alabama,Unweighted distribution of population (%),65.3,26.5,0.6,1.5,0.1,1.6,4.6,
04/28/2021,01/01/2021,01/31/2021,2021,1,By Month,Alabama,Weighted distribution of population (%),55.6,36.5,0.4,1.9,0,1.5,4.2,
04/28/2021,02/01/2021,02/28/2021,2021,2,By Month,Alabama,Count of COVID-19 deaths,639,280,,,0,,16,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
04/28/2021,02/01/2021,02/28/2021,2021,2,By Month,Alabama,Distribution of COVID-19 deaths (%),67.8,29.7,,,0,,1.7,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
04/28/2021,02/01/2021,02/28/2021,2021,2,By Month,Alabama,Unweighted distribution of population (%),65.3,26.5,0.6,1.5,0.1,1.6,4.6,
04/28/2021,02/01/2021,02/28/2021,2021,2,By Month,Alabama,Weighted distribution of population (%),55.3,36.6,0.4,2,0,1.5,4.1,
04/28/2021,03/01/2021,03/31/2021,2021,3,By Month,Alabama,Count of COVID-19 deaths,241,106,,,0,,,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
04/28/2021,03/01/2021,03/31/2021,2021,3,By Month,Alabama,Distribution of COVID-19 deaths (%),67.7,29.8,,,0,,,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
04/28/2021,03/01/2021,03/31/2021,2021,3,By Month,Alabama,Unweighted distribution of population (%),65.3,26.5,0.6,1.5,0.1,1.6,4.6,
04/28/2021,03/01/2021,03/31/2021,2021,3,By Month,Alabama,Weighted distribution of population (%),54.1,38,0.4,2,0,1.5,4,
04/28/2021,04/01/2021,04/24/2021,2021,4,By Month,Alabama,Count of COVID-19 deaths,54,36,0,,0,0,,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
04/28/2021,04/01/2021,04/24/2021,2021,4,By Month,Alabama,Distribution of COVID-19 deaths (%),58.1,38.7,0,,0,0,,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
04/28/2021,04/01/2021,04/24/2021,2021,4,By Month,Alabama,Unweighted distribution of population (%),65.3,26.5,0.6,1.5,0.1,1.6,4.6,
04/28/2021,04/01/2021,04/24/2021,2021,4,By Month,Alabama,Weighted distribution of population (%),53.6,38.3,0.3,1.9,0,1.5,4.3,
04/28/2021,01/01/2020,04/24/2021,2020/2021,,By Total,Alaska,Count of COVID-19 deaths,125,,112,34,19,10,13,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
04/28/2021,01/01/2020,04/24/2021,2020/2021,,By Total,Alaska,Distribution of COVID-19 deaths (%),38.6,,34.6,10.5,5.9,3.1,4,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
04/28/2021,01/01/2020,04/24/2021,2020/2021,,By Total,Alaska,Unweighted distribution of population (%),60.8,3.3,13.9,6.4,1.4,6.8,7.3,
04/28/2021,01/01/2020,04/24/2021,2020/2021,,By Total,Alaska,Weighted distribution of population (%),59.3,4.9,8.5,8.7,2.4,7.3,8.9,
04/28/2021,01/01/2020,12/31/2020,2020,,By Year,Alaska,Count of COVID-19 deaths,93,,89,28,15,,,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
04/28/2021,01/01/2020,12/31/2020,2020,,By Year,Alaska,Distribution of COVID-19 deaths (%),37.2,,35.6,11.2,6,,,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
04/28/2021,01/01/2020,12/31/2020,2020,,By Year,Alaska,Unweighted distribution of population (%),60.8,3.3,13.9,6.4,1.4,6.8,7.3,
04/28/2021,01/01/2020,12/31/2020,2020,,By Year,Alaska,Weighted distribution of population (%),59,5,8.4,8.9,2.4,7.3,9,
04/28/2021,01/01/2021,04/24/2021,2021,,By Year,Alaska,Count of COVID-19 deaths,32,,23,,,,,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
04/28/2021,01/01/2021,04/24/2021,2021,,By Year,Alaska,Distribution of COVID-19 deaths (%),43.2,,31.1,,,,,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
04/28/2021,01/01/2021,04/24/2021,2021,,By Year,Alaska,Unweighted distribution of population (%),60.8,3.3,13.9,6.4,1.4,6.8,7.3,
04/28/2021,01/01/2021,04/24/2021,2021,,By Year,Alaska,Weighted distribution of population (%),60.2,4.8,8.6,8.2,2.2,7.2,8.8,
04/28/2021,01/01/2020,01/31/2020,2020,1,By Month,Alaska,Count of COVID-19 deaths,0,0,0,0,0,0,0,
04/28/2021,01/01/2020,01/31/2020,2020,1,By Month,Alaska,Distribution of COVID-19 deaths (%),0,0,0,0,0,0,0,
04/28/2021,01/01/2020,01/31/2020,2020,1,By Month,Alaska,Unweighted distribution of population (%),60.8,3.3,13.9,6.4,1.4,6.8,7.3,
04/28/2021,01/01/2020,01/31/2020,2020,1,By Month,Alaska,Weighted distribution of population (%),0,0,0,0,0,0,0,
04/28/2021,02/01/2020,02/29/2020,2020,2,By Month,Alaska,Count of COVID-19 deaths,0,0,0,0,0,0,0,
04/28/2021,02/01/2020,02/29/2020,2020,2,By Month,Alaska,Distribution of COVID-19 deaths (%),0,0,0,0,0,0,0,
04/28/2021,02/01/2020,02/29/2020,2020,2,By Month,Alaska,Unweighted distribution of population (%),60.8,3.3,13.9,6.4,1.4,6.8,7.3,
